event_id,event_type,aggregate_id,aggregate_type,sequence_number,schema_version,occurred_at,recorded_at,metadata_causation_id,metadata_correlation_id,metadata_user_id,metadata_source_service,payload_application_id,payload_applicant_id,payload_requested_amount_usd,payload_loan_purpose,payload_loan_term_months,payload_submission_channel,payload_contact_email,payload_contact_name,payload_submitted_at,payload_application_reference,payload_required_document_types_count,payload_required_document_types,payload_deadline,payload_requested_by,payload_package_id,payload_required_documents_count,payload_required_documents,payload_created_at,payload_document_id,payload_document_type,payload_document_format,payload_filename,payload_file_path,payload_file_size_bytes,payload_file_hash,payload_fiscal_year,payload_uploaded_at,payload_uploaded_by,payload_added_at,payload_session_id,payload_agent_type,payload_agent_id,payload_model_version,payload_langgraph_graph_version,payload_context_source,payload_context_token_count,payload_started_at,payload_inputs_validated_count,payload_inputs_validated,payload_validation_duration_ms,payload_validated_at,payload_node_name,payload_node_sequence,payload_input_keys_count,payload_input_keys,payload_output_keys_count,payload_output_keys,payload_llm_called,payload_llm_tokens_input,payload_llm_tokens_output,payload_llm_cost_usd,payload_duration_ms,payload_executed_at,payload_page_count,payload_detected_format,payload_pipeline_version,payload_extraction_model,payload_tool_name,payload_tool_input_summary,payload_tool_output_summary,payload_tool_duration_ms,payload_called_at,payload_facts_total_revenue,payload_facts_gross_profit,payload_facts_operating_expenses,payload_facts_operating_income,payload_facts_ebitda,payload_facts_depreciation_amortization,payload_facts_interest_expense,payload_facts_income_before_tax,payload_facts_tax_expense,payload_facts_net_income,payload_facts_total_assets,payload_facts_current_assets,payload_facts_cash_and_equivalents,payload_facts_accounts_receivable,payload_facts_inventory,payload_facts_total_liabilities,payload_facts_current_liabilities,payload_facts_long_term_debt,payload_facts_total_equity,payload_facts_operating_cash_flow,payload_facts_investing_cash_flow,payload_facts_financing_cash_flow,payload_facts_free_cash_flow,payload_facts_debt_to_equity,payload_facts_current_ratio,payload_facts_debt_to_ebitda,payload_facts_interest_coverage,payload_facts_gross_margin,payload_facts_net_margin,payload_facts_fiscal_year_end,payload_facts_currency,payload_facts_gaap_compliant,payload_facts_field_confidence_total_revenue,payload_facts_field_confidence_net_income,payload_facts_field_confidence_total_assets,payload_facts_page_references_total_revenue,payload_facts_page_references_net_income,payload_facts_extraction_notes_count,payload_facts_balance_sheet_balances,payload_facts_balance_discrepancy_usd,payload_raw_text_length,payload_tables_extracted,payload_processing_ms,payload_completed_at,payload_overall_confidence,payload_is_coherent,payload_anomalies_count,payload_critical_missing_fields_count,payload_reextraction_recommended,payload_auditor_notes,payload_assessed_at,payload_documents_processed,payload_has_quality_flags,payload_quality_flag_count,payload_ready_at,payload_events_written_count,payload_output_summary,payload_written_at,payload_total_nodes_executed,payload_total_llm_calls,payload_total_tokens_used,payload_total_cost_usd,payload_total_duration_ms,payload_next_agent_triggered,payload_requested_at,payload_priority,payload_opened_at,payload_fiscal_years_loaded_count,payload_fiscal_years_loaded,payload_has_prior_loans,payload_has_defaults,payload_revenue_trajectory,payload_data_hash,payload_consumed_at,payload_document_ids_consumed_count,payload_document_ids_consumed,payload_facts_summary,payload_quality_flags_present,payload_decision_risk_tier,payload_decision_recommended_limit_usd,payload_decision_confidence,payload_decision_rationale,payload_decision_key_concerns_count,payload_decision_key_concerns,payload_decision_data_quality_caveats_count,payload_decision_policy_overrides_applied_count,payload_model_deployment_id,payload_input_data_hash,payload_analysis_duration_ms,payload_regulatory_basis_count,payload_triggered_by_event_id,payload_screening_model_version,payload_initiated_at,payload_fraud_score,payload_risk_level,payload_anomalies_found,payload_recommendation,payload_regulation_set_version,payload_rules_to_evaluate_count,payload_rules_to_evaluate,payload_rule_id,payload_rule_name,payload_rule_version,payload_evidence_hash,payload_evaluation_notes,payload_evaluated_at,payload_note_type,payload_note_text,payload_rules_evaluated,payload_rules_passed,payload_rules_failed,payload_rules_noted,payload_has_hard_block,payload_overall_verdict,payload_all_analyses_complete,payload_orchestrator_session_id,payload_confidence,payload_approved_amount_usd,payload_conditions_count,payload_conditions,payload_executive_summary,payload_key_risks_count,payload_contributing_sessions_count,payload_model_versions_orchestrator,payload_generated_at,payload_interest_rate_pct,payload_term_months,payload_approved_by,payload_effective_date,payload_approved_at,payload_failure_reason,payload_is_hard_block,payload_remediation_available,payload_remediation_description,payload_decline_reasons_count,payload_decline_reasons,payload_declined_by,payload_adverse_action_notice_required,payload_adverse_action_codes_count,payload_adverse_action_codes,payload_declined_at,payload_key_risks
a2ecf00f-b35e-4239-932a-008692e139d1,ApplicationSubmitted,a9c5f6f8-0765-4c74-b614-980beb4162db,Loan,1,1.0,2026-02-27T13:48:17.375826Z,2026-02-27T13:48:17.375826Z,,4b884a98-b081-463b-bfbb-8b5fb9e900ad,qhughes@example.net,agentic-governance-ledger,APEX-0001,COMP-074,2679000.0,working_capital,24.0,branch,qhughes@example.net,Mrs. Amanda Shaw,2026-02-27T13:48:17.375826,APEX-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b955656-7931-4a14-9872-8e7a9a4586c5,DocumentUploadRequested,a9c5f6f8-0765-4c74-b614-980beb4162db,Loan,2,1.0,2026-02-27T13:48:17.375826Z,2026-02-27T13:48:17.375826Z,,4b884a98-b081-463b-bfbb-8b5fb9e900ad,system,agentic-governance-ledger,APEX-0001,,,,,,,,,,3.0,application_proposal|income_statement|balance_sheet,2026-03-06T13:48:17.375826,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f963c7ad-3baf-472b-99fb-c2f6f08b2e13,PackageCreated,a8863e13-0435-4a43-905d-c2d9cf1def92,DocumentPackage,1,1.0,2026-02-27T13:48:37.375826Z,2026-02-27T13:48:37.375826Z,,4b884a98-b081-463b-bfbb-8b5fb9e900ad,system,agentic-governance-ledger,APEX-0001,,,,,,,,,,,,,,APEX-0001,3.0,application_proposal|income_statement|balance_sheet,2026-02-27T13:48:37.375826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a905a83-8bf2-4831-bf61-c6211671f0bc,ApplicationSubmitted,85091fc4-b000-4280-8502-60a2f8344140,Loan,1,1.0,2026-03-05T13:49:17.383073Z,2026-03-05T13:49:17.383073Z,,40fbc01c-80cd-4e8f-9dd4-ccad6b5f51aa,molly71@example.net,agentic-governance-ledger,APEX-0002,COMP-041,2388000.0,acquisition,24.0,branch,molly71@example.net,Alexis Thomas,2026-03-05T13:49:17.383073,APEX-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dae92d17-dd01-482c-855b-d46150351c4c,DocumentUploadRequested,85091fc4-b000-4280-8502-60a2f8344140,Loan,2,1.0,2026-03-05T13:49:17.383073Z,2026-03-05T13:49:17.383073Z,,40fbc01c-80cd-4e8f-9dd4-ccad6b5f51aa,system,agentic-governance-ledger,APEX-0002,,,,,,,,,,3.0,application_proposal|income_statement|balance_sheet,2026-03-12T13:49:17.383073,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86f8f572-b5d4-4bfe-a54d-cec708d23139,PackageCreated,4d4dadea-e575-4d5f-ba2b-e397811ceb3b,DocumentPackage,1,1.0,2026-03-05T13:49:37.383073Z,2026-03-05T13:49:37.383073Z,,40fbc01c-80cd-4e8f-9dd4-ccad6b5f51aa,system,agentic-governance-ledger,APEX-0002,,,,,,,,,,,,,,APEX-0002,3.0,application_proposal|income_statement|balance_sheet,2026-03-05T13:49:37.383073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6656415a-4729-493f-923e-8888a4cf7b4f,ApplicationSubmitted,6e5f1908-04ff-4188-8bfc-f5556c11220b,Loan,1,1.0,2026-03-12T13:47:17.384213Z,2026-03-12T13:47:17.384213Z,,00679b60-5ca9-4687-aab6-0e86ca0facd1,charlesharrington@example.com,agentic-governance-ledger,APEX-0003,COMP-031,1017000.0,acquisition,48.0,web,charlesharrington@example.com,Michael Santos,2026-03-12T13:47:17.384213,APEX-0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63471218-7464-426d-99b6-c245eba54cee,DocumentUploadRequested,6e5f1908-04ff-4188-8bfc-f5556c11220b,Loan,2,1.0,2026-03-12T13:47:17.384213Z,2026-03-12T13:47:17.384213Z,,00679b60-5ca9-4687-aab6-0e86ca0facd1,system,agentic-governance-ledger,APEX-0003,,,,,,,,,,3.0,application_proposal|income_statement|balance_sheet,2026-03-19T13:47:17.384213,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366c5060-7339-45de-b9dc-3310e34a93c3,PackageCreated,a97faea1-8445-4d6e-84f2-f84ebd91edf0,DocumentPackage,1,1.0,2026-03-12T13:47:37.384213Z,2026-03-12T13:47:37.384213Z,,00679b60-5ca9-4687-aab6-0e86ca0facd1,system,agentic-governance-ledger,APEX-0003,,,,,,,,,,,,,,APEX-0003,3.0,application_proposal|income_statement|balance_sheet,2026-03-12T13:47:37.384213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07ffce05-3846-454b-938f-0d88315cea10,ApplicationSubmitted,9c285699-e24e-4e45-92ef-8cc58509b070,Loan,1,1.0,2026-02-22T13:46:17.385823Z,2026-02-22T13:46:17.385823Z,,81e84cc2-c6a6-4a3e-9d11-07f9aa116f54,melissa86@example.com,agentic-governance-ledger,APEX-0004,COMP-015,877000.0,working_capital,36.0,web,melissa86@example.com,Stacy Freeman,2026-02-22T13:46:17.385823,APEX-0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
